partid,sich1d,sich2d,sich3d,sich4r,nati1d,nati2r,nati3d,nati4d,simi1d,simi2d,simi3r,simi4d,trutm1,trutm2,trutm3,trunm1,trunm2,trunm3,atnucl,atther,athydr,atgeot,atwind,trugo1,trugo2,trugo3,truco1,truco2,truco3,expval,expsrc,ttext1,ttext2,ttext3,ehydr1,ehydr2,ehydr3,ehydr4,ehydr5,ehydr6,ehydr7,ehydr8,acnucl,acther,achydr,acgeot,acwind,gender,ethnic,ageyea,edupar,polori,source
2325,2,-1,-1,-1,3,-3,-3,-3,2,3,3,-2,0,2,-2,0,2,1,-3,-3,-3,-3,3,-1,-1,-3,-1,-3,-3,0,1,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,0,4,23,4,2,402
2326,2,0,-1,-1,2,-2,1,0,0,0,1,1,0,0,0,0,0,0,-3,-3,-1,-1,0,-1,-2,-1,-1,-1,-2,0,0,-2,-1,-2,0,0,0,-3,0,-3,-3,-3,-2,0,-2,-1,-1, ,5,23,6,4,402
2327,2,1,1,1,1,-2,-1,-1,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,2,3,-2,-2,-2,-2,-3,-3,0,-1,0,-2,-2,-3,-2,-2,-3,-2,-2,-3,-3,-3,-3,-3,2,3,0,5,21,3,4,402
2328,3,2,0,2,3,-2,2,0,1,2,2,-2,2,2,2,0,0,3,-2,-3,-1,2,3,1,1,-1,2,-1,-2,-1,-1,2,2,2,-2,1,0,-3,0,-2,-2,-3,-3,-3,-3,3,3,0,4,20,4,4,402
2330,-2,-2,-2, ,0,-2,-2,0,2,2,2,2,-1,-1,0,0,0,-2,-2,-2,-2,0,2,-1,-1,-1,1,-2,-2,-1,0,2,2,2,-1,1,1,-3,0,0,-1,-3,-2,-2,-2,0,2, ,5,23,4,3,402
2331,2,1,2,-2,2,-2,2,3,0,1,0,0,2,1,1,1,1,1,-3,-3,2,2,2,0,0,1,0,0,0,1,1,1,1,1,3,2,2,1,2,1,1,2,-3,-3,1,-1,-2, ,5,23,2,4,402
2332,3,1,0,-3,0,-3,0,0,3,3,3,1,-3,-3,-3,1,1,3,-3,-3,-1,3,3,-3,-3,-3,-2,-3,-3,1,0,-3,-1,-2,-2,2,-3,-3,-2,-3,-3,-3,-3,-3,-2,3,3, ,5,23,5,2,402
2335,3,0,1,3,3,-3,1,-1,3,3,3,-3,3,2,1,0,0,3,-3,3,3,3,3,3,3,3,3,1,1,0,0,0,0,0,-2,2,0,-3,3,-2,2,-3,-3,-3,2,-3,2,0,4,24,2,4,402
2336,2,2,1,-1,3,-3,1,0,2,3,3,3,3,1,1,1,2,2,-2,1,1,1,2,1,1,1,1,1,1,0,-1,2,2,2,-1,-1,-1,-1,-1,-1,1,-1,-3,-1,-1,-1,-1,0,1,23,5,6,402
2338,2,0,1, ,1,-2,0,1,-1,1,-1,-2,2,1,1,0,0,2,-3,-3,-3,3,3,-3,0,-3,-1,-3,1,-1,1,2,2,2,-2,0,-2,-2,1,-3,-3,-3,-3,-3,-3,1,3, ,4,20,3,4,402
2339,2,0,1,2,0,-3,0,0,0,3,3,1,-1,-1,-1,2,2,1,-3,-3,-3,3,3,-1,-1,0,-1,-1,-1,-1,0,2,2,2,-3,3,-2,-3,2,-2,-3,-3,-3,-3,-3,3,3, ,4,26,3,2,402
2341,-2,-2,0,-1,3,-3,-3,-3,3,3,3,3,-3,-3,-3,1,1,-3,-3,-3,-3,2,2,-3,-3,-3,0,-1,-3,1,0,-3,-3,-3,-3,2,0,-3,-3,-3,-3,-3,-3,-3,-2,2,2,0,4,23,3,4,402
2343,3,2,0,-2,2,-2,3,2,-1,2,1,0,3,2,2,-1,-1,1,2,-1,2,2,2,2,2,2,2,2,2,0,1,2,2,2,2,2,2,2,2,2,2,2,1,0,1,1,1, ,3,22,6,6,402
2344,2,0,2,3,2,-1,-1,-2,-3,2,2,-1,-1,1,0,0,0,0,-3,-3,-3,1,2,-1,1,-1,-1,-3,-3,0,0,-3,-3,-3,-2,-1,-2,-3,-2,-3,-2,-3,-3,-3,-3,0,1,0,6,20,3,4,402
2346,3,-3,2,2,3,-3,-1,1,2,3,2,2,2,2,2,2,2,2,-3,1,2,1,2,2,1,2,2,2,2,-1,-1,1,0,1,-3,1,1,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,0,2,21,3,4,402
2347,1,2,2,0,1,-1,0,1,2,2,1,2,0,0,0,0,0,0,-3,-2,-2,-2,3,-3,-3,-3,-3,-3,-3,-1,1,-1,0,-1,-2,-2,-2,-3,-3,-3,-3,-3,-3,-3,-3,-2,2,0,2,24,2,3,402
2349,3,3,2,2,0,-3,-2,-2,2,3,3,-3,1,1,1,2,1,2,-2,-2,-3,2,3,1,1,1,-1,-2,-1,1,1,-2,-2,-2,2,2,1,-3,3,-1,-3,-3,-2,-3,-3,2,3,0,3,22,3,6,402
2350,2,3,2,2,2,-2,0,0,2,2,2,-2,-3,3,-3,0,0,1,-3,-2,-2,3,3,-3,-3,-3,-3,-3,-3,1,0,-3,-3,-3,-3,2,0,-3,1,1,-1,-2,-3,-2,-2,3,3,0,4,29,3,4,402
2351,0,-1,-3,-2,3,-3,0,-3,2,3,3,3,-3,1,0,0,0,2,-3,-3,-3,-2,3,-2,-2,-3,-2,-3,-3,1,-1,-3,-3,-3,-3,2,-2,-3,0,-2,-3,-3,-3,-3,-3,-3,3,0,5,23,3,3,402
2352,3,2,3,2,3,-3,1,1,0,2,0,-2,3,3,0,0,0,3,-1,1,2,3,3,2,3,3,3,1,1,0,1,3,3,3,0,3,1,-1,2,0,1,0,-3,-1,2,2,3,0,4,22,3,5,402
2353,-2,-2,-3,-3,2,-2,-3,-1,-3,0,-3,2,2,1,2,3,1,3,-3,-3,-1,-1,3,-2,1,-1,-1,2,1,0,0,0,2,0, ,-1,-2,-3,0,1,1,-3,-3,-3,-3,-3,3,0,5,23,5,2,402
2354,1,1,1,0,1, ,0,-1,0,0,0,0,3,-3,-3,-3,-3,-3,-3,3,3,3,3,1,1,1,1,1,1,0,-1,-1,-1,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3,0,5,23,3,4,402
2358,0,0,1,0,2,-1,-1,-1,0,1,0,-1,3,3,1,2,1,2,-1,-2,2,2,2,2,2,0,1,2,2,1,1,2,2,2,-1,1,1,-2,-1,-2,-2,-2,-3,-1,-2,2,2,0,3,20,4,4,402
2360,1,-3,0,0,0,-1,0,1,0,0,3,0,-3,-3,-3,-3,-3,-3,2,-3,-3,3,3,-3,-3,-3,-3,-3,-3,1,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,3,3,0,5,23,5,5,402
2361,2,2,1,0,3,-2,-2,-3,0,1,-1,2,2,2,1,0,1,1,-3,-2,-3,0,2,-2,-1,-1,-2,-3,-1,0,1,0,0,0,-3,-2,-3,-3,0,-3,-3,-3,-2,-2,-2,0,2,0,4,21,4,4,402
2363,3,3,3,1,3,-1,0,1,2,2,1,1,0,0,0,0,0,-1,-3,-3,2,2,2,0,-1,0,1,-3,-2,0,-1,1,1,-1,-2,-1,-1,-3,-3,-2,-2,-2,-3,-3,0,2,3,0,6,24,5,5,402
2364,3,2,1,3,0,-3,-3,0,3,3,3,-3,2,2,2,0,0,2,-3,-3,-3,0,3,-3,-3,-3,-3,-3,-3,-1,-1,-3,-3,-3,-3,2,1,-3,1,-2,-3,-3, ,-3,-3,-3,3,0,4,21,3,1,402
2365,3,2,1,1,2,-1,2,0,0,0,-1,-2,0,0,0,1,1,0,-1,-1,-1,1,1,1,-1,0,0,-1,-1,-1,1,-1,-1,-1,-2,2,1,-2,1,-1,0,-1,-1,-1,-1,1,1,0,3,23,6,5,402
